3.04	0.0424477
3.05	0.0419487
3.06	0.0414546
3.07	0.0409653
3.08	0.0404808
3.09	0.0400011
3.1	0.0395261
3.11	0.0390558
3.12	0.0385901
3.13	0.038129
3.14	0.0376725
3.15	0.0372204
3.16	0.0367728
3.17	0.0363297
3.18	0.0358909
3.19	0.0354565
3.2	0.0350264
3.21	0.0346006
3.22	0.034179
3.23	0.0337616
3.24	0.0333483
3.25	0.0329392
3.26	0.0325342
3.27	0.0321333
3.28	0.0317364
3.29	0.0313434
3.3	0.0309544
3.31	0.0305693
3.32	0.0301881
3.33	0.0298107
3.34	0.0294372
3.35	0.0290674
3.36	0.0287014
3.37	0.0283391
3.38	0.0279804
3.39	0.0276254
3.4	0.0272741
3.41	0.0269264
3.42	0.0265822
3.43	0.0262415
3.44	0.0259044
3.45	0.0255706
3.46	0.0252404
3.47	0.0249135
3.48	0.0245901
3.49	0.02427
3.5	0.0239532
3.51	0.0236397
3.52	0.0233295
3.53	0.0230225
3.54	0.0227188
3.55	0.0224182
3.56	0.0221208
3.57	0.0218265
3.58	0.0215354
3.59	0.0212473
3.6	0.0209622
3.61	0.0206802
3.62	0.0204012
3.63	0.0201252
3.64	0.0198522
3.65	0.0195821
3.66	0.0193148
3.67	0.0190505
3.68	0.018789
3.69	0.0185303
3.7	0.0182745
3.71	0.0180214
3.72	0.0177711
3.73	0.0175236
3.74	0.0172788
3.75	0.0170366
3.76	0.0167971
3.77	0.0165603
3.78	0.0163261
3.79	0.0160945
3.8	0.0158655
3.81	0.0156391
3.82	0.0154152
3.83	0.0151937
3.84	0.0149748
3.85	0.0147584
3.86	0.0145444
3.87	0.0143329
3.88	0.0141238
3.89	0.0139171
3.9	0.0137127
3.91	0.0135107
3.92	0.013311
3.93	0.0131137
3.94	0.0129186
3.95	0.0127258
3.96	0.0125353
3.97	0.012347
3.98	0.0121609
3.99	0.011977
4	0.0117952
4.01	0.0116157
4.02	0.0114383
4.03	0.011263
4.04	0.0110898
4.05	0.0109187
4.06	0.0107496
4.07	0.0105826
4.08	0.0104176
4.09	0.0102546
4.1	0.0100937
4.11	0.00993468
4.12	0.00977765
4.13	0.00962255
4.14	0.00946936
4.15	0.00931808
4.16	0.00916869
4.17	0.00902118
4.18	0.00887553
4.19	0.00873173
4.2	0.00858973
4.21	0.00844954
4.22	0.00831112
4.23	0.00817447
4.24	0.00803958
4.25	0.00790644
